trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9991596177334445}",20,0,-175.9054521375199,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
43,False,"{'a': 0.1, 'e': 0.9991181296463766}",20,0,-153.72978651467227,"{0: 11, 1: 0, 2: 3, 3: 5, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.9990756424412622}",30,0,-115.58085147649733,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.9990321561605888}",25,0,-207.62188245641394,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
46,False,"{'a': 0.1, 'e': 0.9989876708478425}",20,11,-70.2703580736322,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
47,False,"{'a': 0.1, 'e': 0.9989421865475084}",25,0,-132.4196971751791,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
48,False,"{'a': 0.1, 'e': 0.9988957033050712}",20,8,-5.157548929789669,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.9988482211670138}",20,0,-158.11165763326113,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.9987997401808185}",25,0,-143.45750935445736,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
51,False,"{'a': 0.1, 'e': 0.9987502603949663}",25,15,-40.31261137852391,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.9986997818589368}",30,1,-177.75609895802813,"{0: 14, 1: 7, 2: 4, 3: 2, 4: 2}",1
53,False,"{'a': 0.1, 'e': 0.9986483046232089}",30,0,-63.77192876211703,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.9985958287392593}",20,0,-75.9007327715339,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.1, 'e': 0.9985423542595644}",25,0,-139.5207064666323,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.9984878812375985}",20,0,-62.29852170477565,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.9984324097278344}",25,10,-18.154526028268762,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.9983759397857438}",20,0,-197.55947628363984,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
59,False,"{'a': 0.1, 'e': 0.9983184714677966}",30,7,-257.73720994590474,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 4}",1
60,False,"{'a': 0.1, 'e': 0.9982600048314613}",30,0,-97.71037009476863,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.1, 'e': 0.9982005399352042}",20,0,-99.79769923951127,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9981400768384904}",20,0,-111.89017748458532,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
63,False,"{'a': 0.1, 'e': 0.9980786156017829}",20,0,-173.05397654759534,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
64,False,"{'a': 0.1, 'e': 0.9980161562865429}",20,0,-122.05320170508189,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.1, 'e': 0.99795269895523}",25,17,-15.748846202001102,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.9978882436713011}",20,14,10.582466419940273,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.9978227904992117}",25,0,-146.84803539583322,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
68,False,"{'a': 0.1, 'e': 0.9977563395044151}",20,0,-122.45431108198541,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.1, 'e': 0.9976888907533621}",25,0,-186.09131967568118,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
70,False,"{'a': 0.1, 'e': 0.9976204443135014}",25,1,-159.79344916672326,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 2}",1
71,False,"{'a': 0.1, 'e': 0.9975510002532796}",25,0,-132.679105321328,"{0: 14, 1: 5, 2: 2, 3: 3, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.9974805586421406}",20,0,-104.50533598394613,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
73,False,"{'a': 0.1, 'e': 0.9974091195505261}",20,0,-115.71737206936646,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.9973366830498752}",20,5,-42.57725456793547,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.9972632492126244}",20,0,-173.06112343597744,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
76,False,"{'a': 0.1, 'e': 0.9971888181122075}",20,4,-169.32641477157128,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 4}",1
77,False,"{'a': 0.1, 'e': 0.9971133898230555}",20,0,-131.27141000021757,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.1, 'e': 0.9970369644205967}",25,0,-201.37306622915818,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
79,False,"{'a': 0.1, 'e': 0.9969595419812568}",20,0,-95.90952832317168,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
80,False,"{'a': 0.1, 'e': 0.9968811225824579}",20,2,-197.68619786845727,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 4}",1
81,False,"{'a': 0.1, 'e': 0.9968017063026194}",20,0,-96.9545393383631,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9967212932211577}",20,0,-157.4238033231899,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
83,False,"{'a': 0.1, 'e': 0.9966398834184859}",20,0,-112.05165204349596,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.9965574769760137}",25,0,-148.33612380360472,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.1, 'e': 0.9964740739761475}",20,0,-93.11972476451615,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.9963896745022904}",30,0,-143.66764928788427,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
87,False,"{'a': 0.1, 'e': 0.996304278638842}",20,7,1.203349244883489,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.9962178864711978}",30,0,-121.63879437341268,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
89,False,"{'a': 0.1, 'e': 0.9961304980857502}",20,0,-149.4203934932542,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
90,False,"{'a': 0.1, 'e': 0.9960421135698875}",20,0,-128.54204420967565,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.9959527330119943}",25,0,-109.7378284719962,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.9958623565014509}",25,0,-232.09855664162868,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
93,False,"{'a': 0.1, 'e': 0.9957709841286342}",20,0,-134.92665937655602,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
94,False,"{'a': 0.1, 'e': 0.9956786159849162}",25,0,-127.80098792466617,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
95,False,"{'a': 0.1, 'e': 0.9955852521626654}",20,0,-135.20674361793047,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
96,False,"{'a': 0.1, 'e': 0.9954908927552453}",25,13,-6.820292588166451,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.9953955378570153}",20,0,-103.25980191455294,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.9952991875633305}",20,9,-86.54788876179153,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
99,False,"{'a': 0.1, 'e': 0.995201841970541}",20,0,-114.33092931245467,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
100,False,"{'a': 0.1, 'e': 0.9951035011759926}",20,10,-37.61405498696338,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,4,-70.81661357994825,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
102,False,"{'a': 0.1, 'e': 0.9949038343759766}",20,0,-149.14898130301353,"{0: 8, 1: 6, 2: 2, 3: 3, 4: 1}",0
103,False,"{'a': 0.1, 'e': 0.994802508570176}",30,0,-143.00166689190706,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
104,False,"{'a': 0.1, 'e': 0.9947001879619498}",20,0,-96.79991795965987,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.9945968726536185}",25,11,-17.360787369388717,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.9944925627484974}",30,0,-182.2997630134335,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
107,False,"{'a': 0.1, 'e': 0.9943872583508965}",25,0,-228.07426877698578,"{0: 9, 1: 7, 2: 4, 3: 2, 4: 3}",0
108,False,"{'a': 0.1, 'e': 0.9942809595661201}",20,0,-166.2099380197456,"{0: 7, 1: 4, 2: 4, 3: 4, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.9941736665004669}",30,16,-87.81332292153314,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 1}",1
110,False,"{'a': 0.1, 'e': 0.9940653792612301}",25,0,-194.29302116120297,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
111,False,"{'a': 0.1, 'e': 0.9939560979566968}",25,0,-286.87331565309745,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 6}",0
112,False,"{'a': 0.1, 'e': 0.9938458226961485}",25,0,-150.71197652968584,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.9937345535898603}",20,0,-85.36175563612647,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.9936222907491012}",20,0,-136.10939454897579,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
115,False,"{'a': 0.1, 'e': 0.9935090342861342}",20,0,-108.17847594874698,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
