trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.1, 'e': 0.9833021775801796}",20,0,-192.1927232773885,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
185,False,"{'a': 0.1, 'e': 0.9831197056650174}",20,0,-236.7279107115993,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
186,False,"{'a': 0.1, 'e': 0.9829362506302315}",20,0,-33.299310170441075,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
187,False,"{'a': 0.1, 'e': 0.9827518126592768}",20,0,-164.76784141937813,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
188,False,"{'a': 0.1, 'e': 0.9825663919365915}",30,0,-277.75891438204286,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 6}",0
189,False,"{'a': 0.1, 'e': 0.9823799886475959}",20,0,-172.6148835745365,"{0: 7, 1: 1, 2: 9, 3: 2, 4: 1}",0
190,False,"{'a': 0.1, 'e': 0.9821926029786937}",25,0,-133.67581037083596,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
191,False,"{'a': 0.1, 'e': 0.9820042351172703}",20,0,-103.93389384454429,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
192,False,"{'a': 0.1, 'e': 0.9818148852516937}",20,0,-63.31131414881176,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
193,False,"{'a': 0.1, 'e': 0.9816245535713135}",20,0,-86.15321337748138,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
194,False,"{'a': 0.1, 'e': 0.9814332402664617}",25,0,-271.3688285006341,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 6}",0
195,False,"{'a': 0.1, 'e': 0.9812409455284513}",20,0,-196.21719912607975,"{0: 5, 1: 4, 2: 8, 3: 1, 4: 2}",0
196,False,"{'a': 0.1, 'e': 0.9810476695495772}",20,0,-87.5938275204946,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
197,False,"{'a': 0.1, 'e': 0.9808534125231153}",20,0,-72.6466285885775,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
198,False,"{'a': 0.1, 'e': 0.9806581746433226}",20,0,-108.87435218004163,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
199,False,"{'a': 0.1, 'e': 0.9804619561054371}",25,1,-165.0830586909531,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 3}",1
200,False,"{'a': 0.1, 'e': 0.9802647571056771}",20,0,-151.03694680013803,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
201,False,"{'a': 0.1, 'e': 0.9800665778412416}",25,8,-8.960339790921871,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.1, 'e': 0.97986741851031}",25,0,-278.3878342130211,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 6}",0
203,False,"{'a': 0.1, 'e': 0.9796672793120416}",30,0,-186.08388827252261,"{0: 19, 1: 5, 2: 1, 3: 1, 4: 4}",0
204,False,"{'a': 0.1, 'e': 0.9794661604465754}",25,0,-265.0302710277003,"{0: 12, 1: 1, 2: 5, 3: 3, 4: 4}",0
205,False,"{'a': 0.1, 'e': 0.9792640621150305}",25,0,-27.38053585395517,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
206,False,"{'a': 0.1, 'e': 0.9790609845195051}",20,0,-139.45296856657396,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
207,False,"{'a': 0.1, 'e': 0.9788569278630767}",25,0,-117.65487252752372,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
208,False,"{'a': 0.1, 'e': 0.978651892349802}",20,0,-163.46235345796242,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
209,False,"{'a': 0.1, 'e': 0.9784458781847165}",20,0,-117.8538013746387,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
210,False,"{'a': 0.1, 'e': 0.9782388855738344}",20,0,-126.94852753666163,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
211,False,"{'a': 0.1, 'e': 0.9780309147241483}",20,0,-123.53263671661337,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
212,False,"{'a': 0.1, 'e': 0.9778219658436289}",20,0,-85.27238195290128,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
213,False,"{'a': 0.1, 'e': 0.9776120391412251}",20,0,-214.4177827172037,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
214,False,"{'a': 0.1, 'e': 0.9774011348268636}",20,0,-48.039499617065296,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
215,False,"{'a': 0.1, 'e': 0.9771892531114489}",20,0,-168.65611716672396,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
216,False,"{'a': 0.1, 'e': 0.9769763942068623}",30,0,-256.659903342869,"{0: 14, 1: 5, 2: 5, 3: 2, 4: 4}",0
217,False,"{'a': 0.1, 'e': 0.9767625583259631}",20,0,-147.24991237925892,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
218,False,"{'a': 0.1, 'e': 0.976547745682587}",30,0,-106.52944224556693,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
219,False,"{'a': 0.1, 'e': 0.9763319564915464}",20,0,-137.4597298912828,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
220,False,"{'a': 0.1, 'e': 0.9761151909686308}",20,0,-87.94625931322611,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
221,False,"{'a': 0.1, 'e': 0.9758974493306055}",20,0,-47.27237077957416,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
222,False,"{'a': 0.1, 'e': 0.9756787317952123}",20,0,-90.15598327032123,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
223,False,"{'a': 0.1, 'e': 0.9754590385811684}",25,0,-166.83704393101138,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
224,False,"{'a': 0.1, 'e': 0.9752383699081674}",25,0,-131.7366475401283,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
225,False,"{'a': 0.1, 'e': 0.9750167259968777}",20,0,-153.78121656164387,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
226,False,"{'a': 0.1, 'e': 0.9747941070689433}",25,7,-9.625995018514049,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
227,False,"{'a': 0.1, 'e': 0.974570513346983}",25,0,-119.94430978342898,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
228,False,"{'a': 0.1, 'e': 0.9743459450545906}",25,0,-97.18361965242761,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
229,False,"{'a': 0.1, 'e': 0.9741204024163344}",25,0,-146.80639406736697,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
230,False,"{'a': 0.1, 'e': 0.9738938856577568}",20,0,-60.879671832197246,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
231,False,"{'a': 0.1, 'e': 0.9736663950053749}",20,0,-175.75972238286533,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
232,False,"{'a': 0.1, 'e': 0.9734379306866789}",25,0,-195.09674607956546,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
233,False,"{'a': 0.1, 'e': 0.9732084929301336}",20,0,-85.8499765204448,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
234,False,"{'a': 0.1, 'e': 0.9729780819651762}",20,6,-102.20339744735085,"{0: 5, 1: 0, 2: 7, 3: 2, 4: 0}",1
235,False,"{'a': 0.1, 'e': 0.9727466980222181}",25,5,-179.85881653935684,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",1
236,False,"{'a': 0.1, 'e': 0.972514341332643}",20,0,-123.98276564738617,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
237,False,"{'a': 0.1, 'e': 0.9722810121288076}",20,0,-74.41177265889179,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
238,False,"{'a': 0.1, 'e': 0.9720467106440411}",30,0,-173.8536416549429,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
239,False,"{'a': 0.1, 'e': 0.971811437112645}",30,0,-287.05972152720784,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 5}",0
240,False,"{'a': 0.1, 'e': 0.9715751917698927}",25,0,-124.970703890927,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
241,False,"{'a': 0.1, 'e': 0.9713379748520296}",25,7,-142.7649921661894,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 3}",1
242,False,"{'a': 0.1, 'e': 0.9710997865962726}",25,0,-118.9644011154853,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
243,False,"{'a': 0.1, 'e': 0.97086062724081}",20,0,-108.27592281378386,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
244,False,"{'a': 0.1, 'e': 0.970620497024801}",20,9,-61.62443760170962,"{0: 4, 1: 3, 2: 3, 3: 1, 4: 0}",1
245,False,"{'a': 0.1, 'e': 0.9703793961883759}",20,0,-130.44694855183354,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
246,False,"{'a': 0.1, 'e': 0.9701373249726354}",25,7,-149.93070079883697,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 2}",1
247,False,"{'a': 0.1, 'e': 0.9698942836196508}",25,0,-146.02345063366752,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
248,False,"{'a': 0.1, 'e': 0.9696502723724634}",20,0,-215.4684927210776,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
249,False,"{'a': 0.1, 'e': 0.9694052914750845}",20,0,-127.26785376055388,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
250,False,"{'a': 0.1, 'e': 0.9691593411724948}",30,0,-239.83296101809447,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
251,False,"{'a': 0.1, 'e': 0.9689124217106447}",25,0,-231.5730220544421,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
252,False,"{'a': 0.1, 'e': 0.9686645333364537}",25,0,-256.4649913100121,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 6}",0
253,False,"{'a': 0.1, 'e': 0.9684156762978101}",20,0,-182.01281296871315,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
254,False,"{'a': 0.1, 'e': 0.9681658508435709}",20,0,-177.57474077988275,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
255,False,"{'a': 0.1, 'e': 0.9679150572235615}",20,0,-106.7253014902681,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
256,False,"{'a': 0.1, 'e': 0.9676632956885756}",20,0,-98.37742284701045,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
257,False,"{'a': 0.1, 'e': 0.9674105664903746}",25,0,-288.3330105400714,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 6}",0
258,False,"{'a': 0.1, 'e': 0.9671568698816877}",25,0,-75.36955873996233,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
259,False,"{'a': 0.1, 'e': 0.9669022061162116}",20,14,7.454541526092104,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.1, 'e': 0.9666465754486098}",25,0,-162.25391324028493,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
261,False,"{'a': 0.1, 'e': 0.9663899781345132}",20,0,-139.81642143643265,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
262,False,"{'a': 0.1, 'e': 0.966132414430519}",30,1,-19.353490667648725,"{0: 22, 1: 5, 2: 1, 3: 1, 4: 0}",1
263,False,"{'a': 0.1, 'e': 0.9658738845941909}",20,8,-28.412936199297896,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
264,False,"{'a': 0.1, 'e': 0.9656143888840587}",20,0,-246.18425335842176,"{0: 9, 1: 1, 2: 3, 3: 3, 4: 4}",0
265,False,"{'a': 0.1, 'e': 0.965353927559618}",20,0,-160.39678714561546,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
266,False,"{'a': 0.1, 'e': 0.9650925008813303}",20,0,-115.8019161976313,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
267,False,"{'a': 0.1, 'e': 0.9648301091106221}",20,0,-150.32673696714465,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
268,False,"{'a': 0.1, 'e': 0.9645667525098851}",20,0,-85.386143618229,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
269,False,"{'a': 0.1, 'e': 0.9643024313424761}",25,0,-142.65753904912708,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
270,False,"{'a': 0.1, 'e': 0.964037145872716}",20,0,-135.25175530999599,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
271,False,"{'a': 0.1, 'e': 0.9637708963658905}",25,0,-133.87167982715624,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
272,False,"{'a': 0.1, 'e': 0.9635036830882489}",25,0,-85.78009473103741,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
273,False,"{'a': 0.1, 'e': 0.9632355063070045}",20,0,-69.06881596645562,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
274,False,"{'a': 0.1, 'e': 0.962966366290334}",20,0,-226.72607693677077,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 5}",0
275,False,"{'a': 0.1, 'e': 0.9626962633073776}",20,0,-109.73520297913855,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
276,False,"{'a': 0.1, 'e': 0.962425197628238}",25,0,-259.4229193104774,"{0: 12, 1: 1, 2: 5, 3: 3, 4: 4}",0
277,False,"{'a': 0.1, 'e': 0.9621531695239809}",30,0,-162.20597705036832,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
278,False,"{'a': 0.1, 'e': 0.9618801792666346}",20,0,-136.36370021650563,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
279,False,"{'a': 0.1, 'e': 0.9616062271291891}",20,0,-158.52149983672263,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
280,False,"{'a': 0.1, 'e': 0.9613313133855966}",20,0,-65.36450201420092,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
281,False,"{'a': 0.1, 'e': 0.9610554383107709}",20,0,-67.7373308254367,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
282,False,"{'a': 0.1, 'e': 0.960778602180587}",20,0,-32.84022301811294,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
283,False,"{'a': 0.1, 'e': 0.960500805271881}",20,0,-65.31610929760225,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
284,False,"{'a': 0.1, 'e': 0.9602220478624496}",20,0,-173.19599670272063,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
285,False,"{'a': 0.1, 'e': 0.9599423302310505}",30,8,-225.25639112117253,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 5}",1
286,False,"{'a': 0.1, 'e': 0.9596616526574011}",20,10,-51.23041234220928,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
287,False,"{'a': 0.1, 'e': 0.959380015422179}",25,0,-213.7137867082372,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
288,False,"{'a': 0.1, 'e': 0.9590974188070215}",25,0,-53.762493698189694,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
289,False,"{'a': 0.1, 'e': 0.9588138630945251}",30,0,-142.48042846944463,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
290,False,"{'a': 0.1, 'e': 0.9585293485682455}",20,0,-106.6008769237302,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",1
291,False,"{'a': 0.1, 'e': 0.9582438755126972}",25,0,-241.0020663335599,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
292,False,"{'a': 0.1, 'e': 0.9579574442133532}",25,0,-201.41221950718636,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
293,False,"{'a': 0.1, 'e': 0.9576700549566448}",25,0,-189.7300071057039,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
294,False,"{'a': 0.1, 'e': 0.9573817080299614}",20,0,-143.84851680425544,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
295,False,"{'a': 0.1, 'e': 0.9570924037216496}",20,0,-59.28170457380626,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
296,False,"{'a': 0.1, 'e': 0.9568021423210139}",20,0,-65.88344436527525,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
297,False,"{'a': 0.1, 'e': 0.9565109241183156}",25,0,-207.2572066838224,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
298,False,"{'a': 0.1, 'e': 0.9562187494047729}",30,0,-62.99892974202641,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
299,False,"{'a': 0.1, 'e': 0.9559256184725605}",30,0,-161.45719185862254,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
300,False,"{'a': 0.1, 'e': 0.9556315316148093}",20,0,-49.74605281157013,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
301,False,"{'a': 0.1, 'e': 0.955336489125606}",20,0,-116.69660437181157,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
302,False,"{'a': 0.1, 'e': 0.9550404912999932}",25,7,-132.126213785284,"{0: 10, 1: 3, 2: 1, 3: 2, 4: 2}",1
303,False,"{'a': 0.1, 'e': 0.9547435384339689}",25,0,-179.952017829965,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
304,False,"{'a': 0.1, 'e': 0.9544456308244855}",25,0,-165.96792513298786,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
305,False,"{'a': 0.1, 'e': 0.9541467687694509}",25,0,-149.39284849164386,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
306,False,"{'a': 0.1, 'e': 0.9538469525677271}",25,0,-116.47439174361362,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
307,False,"{'a': 0.1, 'e': 0.9535461825191301}",25,0,-58.64617543061049,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
308,False,"{'a': 0.1, 'e': 0.9532444589244301}",25,7,-113.42800581845607,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 2}",1
309,False,"{'a': 0.1, 'e': 0.9529417820853506}",25,3,-111.44486761789481,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 2}",1
310,False,"{'a': 0.1, 'e': 0.9526381523045685}",20,11,-40.46887628438782,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
311,False,"{'a': 0.1, 'e': 0.9523335698857134}",25,0,-92.10046227927805,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
312,False,"{'a': 0.1, 'e': 0.9520280351333678}",20,0,-97.76562366055063,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
313,False,"{'a': 0.1, 'e': 0.9517215483530664}",20,0,-127.39247002218605,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
314,False,"{'a': 0.1, 'e': 0.9514141098512959}",25,5,-60.14341245796872,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
315,False,"{'a': 0.1, 'e': 0.951105719935495}",30,0,-252.6944366585619,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 5}",0
316,False,"{'a': 0.1, 'e': 0.9507963789140532}",20,5,-38.367996754479925,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
317,False,"{'a': 0.1, 'e': 0.9504860870963119}",20,0,-154.74374395806458,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
318,False,"{'a': 0.1, 'e': 0.9501748447925626}",20,0,-84.10919186985087,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
319,False,"{'a': 0.1, 'e': 0.9498626523140478}",25,0,-145.23405215806224,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
320,False,"{'a': 0.1, 'e': 0.9495495099729597}",20,0,-60.57528621620338,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
321,False,"{'a': 0.1, 'e': 0.9492354180824408}",30,11,-36.87395851368916,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
322,False,"{'a': 0.1, 'e': 0.948920376956583}",20,0,-114.95557493833726,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
323,False,"{'a': 0.1, 'e': 0.9486043869104273}",30,0,-115.7168554188405,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",1
324,False,"{'a': 0.1, 'e': 0.9482874482599637}",20,0,-51.551410187660984,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
325,False,"{'a': 0.1, 'e': 0.9479695613221308}",20,0,-82.12642234612213,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
326,False,"{'a': 0.1, 'e': 0.9476507264148157}",20,0,-77.00415571646946,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
327,False,"{'a': 0.1, 'e': 0.9473309438568531}",20,0,-144.19240571841678,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
328,False,"{'a': 0.1, 'e': 0.9470102139680256}",25,0,-115.90995472880503,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
329,False,"{'a': 0.1, 'e': 0.9466885370690631}",25,0,-54.46824504808177,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
330,False,"{'a': 0.1, 'e': 0.9463659134816423}",20,0,-115.90914382544958,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
331,False,"{'a': 0.1, 'e': 0.946042343528387}",25,0,-109.44583813172845,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
332,False,"{'a': 0.1, 'e': 0.9457178275328669}",25,0,-214.50517542038426,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
333,False,"{'a': 0.1, 'e': 0.9453923658195982}",25,5,-281.96808099043824,"{0: 5, 1: 4, 2: 5, 3: 1, 4: 5}",1
334,False,"{'a': 0.1, 'e': 0.9450659587140423}",30,0,-118.56571838878854,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
335,False,"{'a': 0.1, 'e': 0.9447386065426066}",20,0,-167.92424154987592,"{0: 11, 1: 2, 2: 1, 3: 4, 4: 2}",0
336,False,"{'a': 0.1, 'e': 0.944410309632643}",20,9,-32.83116511725147,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 0}",1
337,False,"{'a': 0.1, 'e': 0.9440810683124485}",25,0,-41.8408904268627,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
338,False,"{'a': 0.1, 'e': 0.9437508829112643}",25,0,-59.15265470911234,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
339,False,"{'a': 0.1, 'e': 0.9434197537592759}",30,0,-151.5373909644293,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
340,False,"{'a': 0.1, 'e': 0.9430876811876123}",20,0,-77.62495395216254,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
341,False,"{'a': 0.1, 'e': 0.9427546655283462}",20,7,-15.655392971116596,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
342,False,"{'a': 0.1, 'e': 0.9424207071144931}",20,13,-28.773025749669593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
343,False,"{'a': 0.1, 'e': 0.9420858062800114}",20,0,-155.63721462633262,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
344,False,"{'a': 0.1, 'e': 0.941749963359802}",25,0,-140.81574549564039,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
345,False,"{'a': 0.1, 'e': 0.9414131786897075}",20,0,-173.78145266198123,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
346,False,"{'a': 0.1, 'e': 0.941075452606513}",25,0,-142.4717705017379,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
347,False,"{'a': 0.1, 'e': 0.9407367854479443}",25,0,-92.57153510743355,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
348,False,"{'a': 0.1, 'e': 0.9403971775526684}",30,0,-162.3743118870537,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
349,False,"{'a': 0.1, 'e': 0.9400566292602934}",25,0,-131.1855190451163,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
350,False,"{'a': 0.1, 'e': 0.9397151409113674}",20,0,-62.39708436394666,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
351,False,"{'a': 0.1, 'e': 0.9393727128473789}",25,0,-138.64358957710346,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
352,False,"{'a': 0.1, 'e': 0.9390293454107558}",20,0,-78.26249520940712,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
353,False,"{'a': 0.1, 'e': 0.9386850389448655}",20,0,-123.91261555279083,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
354,False,"{'a': 0.1, 'e': 0.9383397937940146}",25,0,-91.15313849836852,"{0: 19, 1: 2, 2: 0, 3: 3, 4: 1}",0
355,False,"{'a': 0.1, 'e': 0.937993610303448}",25,0,-102.31636799933155,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
356,False,"{'a': 0.1, 'e': 0.9376464888193493}",20,0,-131.66147142593576,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
357,False,"{'a': 0.1, 'e': 0.9372984296888399}",25,0,-61.81554558404385,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
358,False,"{'a': 0.1, 'e': 0.9369494332599789}",20,12,-61.7248705571874,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
359,False,"{'a': 0.1, 'e': 0.9365994998817627}",30,0,-156.47356350279455,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
360,False,"{'a': 0.1, 'e': 0.9362486299041247}",20,0,-107.79173095018459,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
361,False,"{'a': 0.1, 'e': 0.9358968236779348}",25,0,-141.42843177041874,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
362,False,"{'a': 0.1, 'e': 0.9355440815549994}",20,14,10.356905618414372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.1, 'e': 0.9351904038880602}",20,11,-24.619301977559683,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
364,False,"{'a': 0.1, 'e': 0.9348357910307951}",20,0,-105.18328893478436,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
365,False,"{'a': 0.1, 'e': 0.9344802433378168}",20,0,-220.1953837812129,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
366,False,"{'a': 0.1, 'e': 0.9341237611646731}",20,0,-121.71106803960122,"{0: 9, 1: 3, 2: 4, 3: 4, 4: 0}",0
367,False,"{'a': 0.1, 'e': 0.933766344867846}",20,0,-109.64197421235191,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
